# downloaded from PARSEC/CMD via ezpadova
# component=bar family=bar component_index=8 logAge=9.95424 MH=-0.5 photometric_system=twomass
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Jmag Hmag Ksmag
0.0048313 -0.5 9.95424 0.0900000036 1.081689593 0.09 -3.325 3.4059 5.293 1 0 0.545 0 0 0 0 0 -1 -4.48e-17 0 0.7363 0.2588 0.0008868 0.0002392 0.00217 -1 0.004931 13.082 10.886 10.432 10.233
0.0048313 -0.5 9.95424 0.1000000015 1.171106412 0.1 -3.116 3.4357 5.248 1 0 0.545 0 0 0 0 0 -1 -7.24e-17 0 0.7358 0.2593 0.0008868 0.0002392 0.00217 -1 0.004931 12.56 10.421 9.938 9.721
0.0048313 -0.5 9.95424 0.1199999973 1.319315425 0.12 -2.848 3.4679 5.189 1 0 0.545 0 0 0 0 0 -1 -1.31e-16 0 0.7347 0.2604 0.0008868 0.0002392 0.00217 -1 0.004931 11.89 9.845 9.325 9.094
0.0048313 -0.5 9.95424 0.1267677695 1.362351468 0.127 -2.782 3.4749 5.174 1 0 0.545 0 0 0 0 0 -1 -1.51e-16 0 0.7343 0.2607 0.0008868 0.0002392 0.00217 -1 0.004931 11.725 9.7 9.174 8.942
0.0048313 -0.5 9.95424 0.1400000006 1.438452672 0.14 -2.662 3.4874 5.148 1 0 0.545 0 0 0 0 0 -1 -1.95e-16 0 0.7337 0.2613 0.0008868 0.0002392 0.00217 -1 0.004931 11.426 9.439 8.903 8.671
0.0048313 -0.5 9.95424 0.1428005099 1.453364563 0.143 -2.641 3.4893 5.143 1 0 0.545 0 0 0 0 0 -1 -2.04e-16 0 0.7336 0.2615 0.0008868 0.0002392 0.00217 -1 0.004931 11.373 9.392 8.855 8.622
0.0048313 -0.5 9.95424 0.1599999964 1.537293155 0.16 -2.519 3.5005 5.116 1 0 0.545 0 0 0 0 0 -1 -2.63e-16 0 0.7329 0.2622 0.0008868 0.0002392 0.00217 -1 0.004931 11.069 9.12 8.577 8.346
0.0048313 -0.5 9.95424 0.1999999881 1.693879036 0.2 -2.298 3.5184 5.063 1 0 0.545 0 0 0 0 0 -1 -4.16e-16 0 0.7316 0.2634 0.0008868 0.0002392 0.00217 -1 0.004931 10.515 8.619 8.067 7.84
0.0048313 -0.5 9.95424 0.25 1.8403258 0.25 -2.088 3.5324 5.006 1 0 0.545 0 0 0 0 0 -1 -2.35e-16 0 0.7308 0.2643 0.0008868 0.0002393 0.00217 -1 0.004931 9.991 8.133 7.573 7.352
0.0048313 -0.5 9.95424 0.3000000119 1.952913977 0.3 -1.925 3.542 4.96 1 0 0.545 0 0 0 0 0 -1 -5.97e-16 0 0.7306 0.2644 0.0008868 0.0002393 0.00217 -1 0.004931 9.583 7.751 7.185 6.967
0.0048313 -0.5 9.95424 0.3269815147 2.003992088 0.327 -1.845 3.5465 4.936 1 0 0.545 0 0 0 0 0 -1 -1.07e-15 0 0.7346 0.2605 0.0008868 0.0002392 0.00217 -1 0.004931 9.383 7.565 6.995 6.778
